itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
48,5,484,0,490,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.95832,0.0,38.808,2.6729999999999996,0.0,42.76932
49,5,494,0,500,30,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.33,0.97812,0.0,39.599999999999994,2.6729999999999996,0.0,43.58112
50,5,504,0,510,31,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.33,0.9979199999999998,0.0,40.391999999999996,2.7620999999999998,0.0,44.48201999999999
51,6,514,0,520,31,0,0.050655,0.31647,0.0,0.93456,0.0,0.0,1.301685,0.39599999999999996,1.0177199999999997,0.0,41.184,2.7620999999999998,0.0,45.35981999999999
52,6,524,0,530,31,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.0375199999999998,0.0,41.976,2.7620999999999998,0.0,46.17162
53,6,534,0,540,32,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,1.0573199999999998,0.0,42.768,2.8512,0.0,47.07252
54,6,544,0,550,32,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.0771199999999999,0.0,43.56,2.8512,0.0,47.88432
55,6,554,0,560,32,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.09692,0.0,44.352,2.8512,0.0,48.69611999999999
56,6,564,0,570,33,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,1.11672,0.0,45.144,2.9402999999999997,0.0,49.59702
57,6,573,0,580,33,0,0.0,0.284823,0.0,0.93456,0.0,0.0,1.2193829999999999,0.39599999999999996,1.1345399999999999,0.0,45.936,2.9402999999999997,0.0,50.40684
58,6,583,0,590,33,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.1543399999999997,0.0,46.727999999999994,2.9402999999999997,0.0,51.21863999999999
59,6,593,0,600,34,0,0.0,0.31647,0.0,0.93456,0.099462,0.0,1.3504919999999998,0.39599999999999996,1.1741399999999997,0.0,47.519999999999996,3.0294,0.0,52.11954
60,6,603,0,610,34,0,0.0,0.31647,0.0,0.93456,0.0,0.0,1.2510299999999999,0.39599999999999996,1.1939399999999998,0.0,48.312,3.0294,0.0,52.93134
