itr,CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
71,2,87,0,90,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.17225999999999997,0.0,7.128,0.2673,0.0,7.69956
72,2,88,0,91,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.17423999999999998,0.0,7.2072,0.2673,0.0,7.78074
73,2,89,0,92,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.17622,0.0,7.2864,0.2673,0.0,7.8619200000000005
74,2,90,0,93,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.132,0.17819999999999997,0.0,7.365600000000001,0.2673,0.0,7.9431
75,3,91,0,94,3,0,0.050655,0.031646999999999995,0.0,0.093456,0.0,0.0,0.17575799999999997,0.19799999999999998,0.18017999999999998,0.0,7.444800000000001,0.2673,0.0,8.090280000000002
76,3,92,0,95,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.18215999999999996,0.0,7.524,0.2673,0.0,8.17146
77,3,93,0,96,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.18413999999999997,0.0,7.6032,0.2673,0.0,8.25264
78,3,94,0,97,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.18611999999999995,0.0,7.6823999999999995,0.2673,0.0,8.33382
79,3,95,0,98,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.18809999999999996,0.0,7.761599999999999,0.2673,0.0,8.415
80,3,96,0,99,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19007999999999997,0.0,7.840799999999999,0.2673,0.0,8.496179999999999
81,3,97,0,100,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19205999999999998,0.0,7.919999999999999,0.2673,0.0,8.577359999999999
82,3,98,0,101,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19404,0.0,7.999199999999999,0.2673,0.0,8.65854
83,3,99,0,102,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19601999999999997,0.0,8.0784,0.2673,0.0,8.73972
84,3,100,0,103,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19799999999999998,0.0,8.157599999999999,0.2673,0.0,8.8209
85,3,101,0,104,3,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.19997999999999996,0.0,8.236799999999999,0.2673,0.0,8.90208
86,3,102,0,105,4,0,0.0,0.031646999999999995,0.0,0.093456,0.099462,0.0,0.224565,0.19799999999999998,0.20195999999999997,0.0,8.315999999999999,0.3564,0.0,9.07236
87,3,103,0,106,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.20393999999999998,0.0,8.395199999999999,0.3564,0.0,9.15354
88,3,104,0,107,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.20592,0.0,8.4744,0.3564,0.0,9.23472
89,3,105,0,108,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.2079,0.0,8.5536,0.3564,0.0,9.315900000000001
90,3,106,0,109,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.20987999999999996,0.0,8.6328,0.3564,0.0,9.39708
91,3,107,0,110,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.21185999999999997,0.0,8.712,0.3564,0.0,9.47826
92,3,108,0,111,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.21383999999999997,0.0,8.7912,0.3564,0.0,9.55944
93,3,108,0,112,4,0,0.0,0.0,0.0,0.093456,0.0,0.0,0.093456,0.19799999999999998,0.21383999999999997,0.0,8.8704,0.3564,0.0,9.63864
94,3,109,0,113,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.21581999999999998,0.0,8.9496,0.3564,0.0,9.71982
95,3,110,0,114,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.21779999999999997,0.0,9.0288,0.3564,0.0,9.801000000000002
96,3,111,0,115,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.21977999999999998,0.0,9.108,0.3564,0.0,9.882180000000002
97,3,112,0,116,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.22175999999999998,0.0,9.1872,0.3564,0.0,9.963360000000002
98,3,113,0,117,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.22374,0.0,9.2664,0.3564,0.0,10.044540000000001
99,3,114,0,118,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.22571999999999995,0.0,9.3456,0.3564,0.0,10.12572
100,3,115,0,119,4,0,0.0,0.031646999999999995,0.0,0.093456,0.0,0.0,0.125103,0.19799999999999998,0.22769999999999996,0.0,9.4248,0.3564,0.0,10.206900000000001
