CPU (in s),LPM (in s),DLPM (in s),listen (in s),Rx (in s),Tx (in s),CPU_Usage_profile (in J),LPM_Usage_profile (in J),DLPM_Usage_profile (in J),Listen_usage_profile (in J),Rx_usage_profile (in J),Tx_usage_profile (in J),TotalUsage_profile (in J),CPU_Usage_datasheet (in J),LPM_Usage_datasheet (in J),DLPM_Usage_datasheet (in J),Listen_usage_datasheet (in J),Rx_usage_datasheet (in J),Tx_usage_datasheet (in J),TotalUsage_datasheet (in J)
7,653,0,660,90,0,0.354585,20.665491,0.0,61.680960000000006,8.95158,0.0,91.652616,0.462,1.29294,0.0,52.272,8.019,0.0,62.045939999999995
7,663,0,670,91,0,0.354585,20.981961,0.0,62.61552,9.051041999999999,0.0,93.003108,0.462,1.3127399999999998,0.0,53.064,8.108099999999999,0.0,62.94684
7,673,0,680,91,0,0.354585,21.298430999999997,0.0,63.550079999999994,9.051041999999999,0.0,94.25413799999998,0.462,1.3325399999999998,0.0,53.855999999999995,8.108099999999999,0.0,63.75863999999999
7,682,0,690,92,0,0.354585,21.583253999999997,0.0,64.48464,9.150503999999998,0.0,95.572983,0.462,1.3503599999999998,0.0,54.647999999999996,8.197199999999999,0.0,64.65755999999999
7,692,0,700,92,0,0.354585,21.899723999999996,0.0,65.4192,9.150503999999998,0.0,96.824013,0.462,1.3701599999999998,0.0,55.44,8.197199999999999,0.0,65.46936
7,702,0,710,92,0,0.354585,22.216193999999998,0.0,66.35376000000001,9.150503999999998,0.0,98.07504300000001,0.462,1.3899599999999999,0.0,56.23199999999999,8.197199999999999,0.0,66.28115999999999
7,712,0,720,93,0,0.354585,22.532663999999997,0.0,67.28832,9.249966,0.0,99.425535,0.462,1.40976,0.0,57.024,8.2863,0.0,67.18206
7,722,0,730,93,0,0.354585,22.849133999999996,0.0,68.22288,9.249966,0.0,100.676565,0.462,1.42956,0.0,57.815999999999995,8.2863,0.0,67.99386
8,732,0,740,93,0,0.40524,23.165604,0.0,69.15744,9.249966,0.0,101.97824999999999,0.528,1.4493599999999998,0.0,58.608000000000004,8.2863,0.0,68.87166
8,742,0,750,94,0,0.40524,23.482073999999997,0.0,70.092,9.349428,0.0,103.32874199999999,0.528,1.4691599999999998,0.0,59.4,8.375399999999999,0.0,69.77256
8,752,0,760,94,0,0.40524,23.798543999999996,0.0,71.02656,9.349428,0.0,104.579772,0.528,1.4889599999999996,0.0,60.192,8.375399999999999,0.0,70.58436
8,762,0,770,94,0,0.40524,24.115014,0.0,71.96112,9.349428,0.0,105.83080199999999,0.528,1.5087599999999997,0.0,60.983999999999995,8.375399999999999,0.0,71.39616
8,772,0,780,95,0,0.40524,24.431483999999998,0.0,72.89568,9.44889,0.0,107.18129400000001,0.528,1.5285599999999997,0.0,61.775999999999996,8.4645,0.0,72.29705999999999
